Dias,Numero de infectados,Casos novos nesse dia,Mortes,Imunes(curados),Imunidade de manada,Proporcao de contagio,Proporcao de nao infectados,Valores de R,Param_name,Params
0,1,0,0,0,0.0,1,0.99999,0.0,Clustering,1
1,1,0,0,0,0.0,1,0.99999,0.0,Sick_quarantined,1
2,1,0,0,0,0.0,1,0.99999,0.0,Days_limit,200
3,1,0,0,0,0.0,1,0.99999,0.0,Total_pop,100000
4,1,0,0,0,0.0,1,0.99999,1.0,Starting_infected,1
5,1,1,0,0,0.0,1,0.99999,1.0,Death_rate,0.001
6,2,0,0,0,0.0,2,0.99998,0.5,Incubation_time,6
7,2,0,0,0,0.0,2,0.99998,1.0,Illness_course,27
8,2,1,0,0,0.0,2,0.99998,1.0,Infection_chance_upon_meeting,0.1
9,3,0,0,0,0.0,3,0.99997,0.6666666666666666,Quarantine_chance,0.4
10,3,0,0,0,0.0,3,0.99997,0.6666666666666666,Minimum_incubation_for_infection,4
11,3,0,0,0,0.0,3,0.99997,1.0,Seed_clustersize,6
12,3,1,0,0,0.0,3,0.99997,2.0,Max_meetings,20
13,4,3,0,0,0.0,4,0.99996,1.75,Middle_factor,5
14,7,1,0,0,0.0,7,0.99993,1.0,Outer_factor,20
15,8,0,0,0,0.0,8,0.99992,1.0,Inner_cluster_chance,0.9
16,8,1,0,0,0.0,8,0.99992,1.25,Middle_cluster_chance,0.9
17,9,3,0,0,0.0,9,0.99991,1.3333333333333333,Outer_cluster_chance,0.9
18,12,2,0,0,0.0,12,0.99988,1.6666666666666667,,
19,14,7,0,0,0.0,14,0.99986,1.5714285714285714,,
20,21,1,0,0,0.0,21,0.99979,1.1904761904761905,,
21,22,2,0,0,0.0,22,0.99978,1.3181818181818181,,
22,24,5,0,0,0.0,24,0.99976,1.4166666666666667,,
23,29,6,0,0,0.0,29,0.99971,1.4137931034482758,,
24,35,4,0,0,0.0,35,0.99965,1.2857142857142858,,
25,39,5,0,0,0.0,39,0.99961,1.3076923076923077,,
26,44,8,0,0,0.0,44,0.99956,1.1363636363636365,,
27,51,5,0,1,1e-05,52,0.99948,1.0384615384615385,,
28,56,3,0,1,1e-05,57,0.99943,1.0350877192982457,,
29,59,5,0,1,1e-05,60,0.9994,1.0833333333333333,,
30,64,5,0,1,1e-05,65,0.99935,1.1538461538461537,,
31,69,12,0,1,1e-05,70,0.9993,1.2857142857142858,,
32,80,17,0,2,2e-05,82,0.99918,1.2926829268292683,,
33,97,12,0,2,2e-05,99,0.99901,1.1616161616161615,,
34,109,5,0,2,2e-05,111,0.99889,1.072072072072072,,
35,113,11,0,3,3e-05,116,0.99884,1.1810344827586208,,
36,124,15,0,3,3e-05,127,0.99873,1.2283464566929134,,
37,139,19,0,3,3e-05,142,0.99858,1.2394366197183098,,
38,158,20,0,3,3e-05,161,0.99839,1.2422360248447204,,
39,177,22,0,4,4e-05,181,0.99819,1.1160220994475138,,
40,196,18,0,7,7e-05,203,0.99797,1.064039408866995,,
41,212,18,1,8,8.000080000800008e-05,221,0.99779,1.0995475113122173,,
42,230,25,1,8,8.000080000800008e-05,239,0.99761,1.104602510460251,,
43,254,21,1,9,9.000090000900009e-05,264,0.99736,1.0833333333333333,,
44,272,31,1,12,0.00012000120001200012,285,0.99715,1.1228070175438596,,
45,301,29,1,14,0.00014000140001400014,316,0.99684,1.0537974683544304,,
46,322,31,2,21,0.00021000420008400168,345,0.99655,1.0869565217391304,,
47,352,39,2,22,0.00022000440008800175,376,0.99624,1.101063829787234,,
48,389,44,2,24,0.00024000480009600192,415,0.99585,1.1204819277108433,,
49,428,54,2,29,0.00029000580011600234,459,0.99541,1.0980392156862746,,
50,476,58,2,35,0.0003500070001400028,513,0.99487,1.0623781676413255,,
51,530,39,2,39,0.00039000780015600314,571,0.99429,1.0455341506129596,,
52,564,63,2,44,0.0004400088001760035,610,0.9939,1.0688524590163935,,
53,619,64,2,52,0.0005200104002080041,673,0.99327,1.0564635958395245,,
54,678,82,2,57,0.0005700114002280045,737,0.99263,1.0841248303934872,,
55,756,98,3,60,0.0006000180005400162,819,0.99181,1.0622710622710623,,
56,849,74,3,65,0.0006500195005850175,917,0.99083,1.0370774263904035,,
57,919,80,3,69,0.0006900207006210186,991,0.99009,1.0363269424823411,,
58,987,103,3,81,0.0008100243007290219,1071,0.98929,1.0130718954248366,,
59,1073,101,3,98,0.0009800294008820265,1174,0.98826,1.01618398637138,,
60,1162,129,3,110,0.0011000330009900297,1275,0.98725,1.0454901960784313,,
61,1286,131,3,115,0.001150034501035031,1404,0.98596,1.0477207977207976,,
