Dias,Numero de infectados,Casos novos nesse dia,Mortes,Imunes(curados),Imunidade de manada,Proporcao de contagio,Proporcao de nao infectados,Valores de R,Param_name,Params
0,1,0,0,0,0.0,1,0.99999,0.0,Clustering,1
1,1,0,0,0,0.0,1,0.99999,0.0,Sick_quarantined,1
2,1,0,0,0,0.0,1,0.99999,0.0,Days_limit,600
3,1,0,0,0,0.0,1,0.99999,0.0,Total_pop,100000
4,1,0,0,0,0.0,1,0.99999,0.0,Starting_infected,1
5,1,0,0,0,0.0,1,0.99999,0.0,Death_rate,0.001
6,1,0,0,0,0.0,1,0.99999,0.0,Incubation_time,6
7,1,0,0,0,0.0,1,0.99999,0.0,Illness_course,27
8,1,0,0,0,0.0,1,0.99999,0.0,Infection_chance_upon_meeting,0.12
9,1,0,0,0,0.0,1,0.99999,0.0,Quarantine_chance,0.5
10,1,0,0,0,0.0,1,0.99999,0.0,Minimum_incubation_for_infection,4
11,1,1,0,0,0.0,1,0.99999,1.0,Seed_clustersize,6
12,2,0,0,0,0.0,2,0.99998,1.0,Max_meetings,10
13,2,1,0,0,0.0,2,0.99998,1.0,Middle_factor,5
14,3,0,0,0,0.0,3,0.99997,0.6666666666666666,Outer_factor,20
15,3,0,0,0,0.0,3,0.99997,1.0,Inner_cluster_chance,0.9
16,3,1,0,0,0.0,3,0.99997,1.0,Middle_cluster_chance,0.9
17,4,0,0,0,0.0,4,0.99996,0.75,Outer_cluster_chance,0.9
18,4,0,0,0,0.0,4,0.99996,1.0,,
19,4,1,0,0,0.0,4,0.99996,1.0,,
20,5,0,0,0,0.0,5,0.99995,0.8,,
21,5,0,0,0,0.0,5,0.99995,1.2,,
22,5,2,0,0,0.0,5,0.99995,1.2,,
23,7,0,0,0,0.0,7,0.99993,1.0,,
24,7,1,0,0,0.0,7,0.99993,1.0,,
25,8,0,0,0,0.0,8,0.99992,0.875,,
26,8,0,0,0,0.0,8,0.99992,0.125,,
27,7,1,0,1,1e-05,8,0.99992,0.25,,
28,8,1,0,1,1e-05,9,0.99991,0.3333333333333333,,
29,9,1,0,1,1e-05,10,0.9999,0.3,,
30,10,0,0,1,1e-05,11,0.99989,0.2727272727272727,,
31,10,2,0,1,1e-05,11,0.99989,0.45454545454545453,,
32,12,0,0,1,1e-05,13,0.99987,0.38461538461538464,,
33,12,0,0,1,1e-05,13,0.99987,0.38461538461538464,,
34,12,0,0,1,1e-05,13,0.99987,0.38461538461538464,,
35,12,3,0,1,1e-05,13,0.99987,0.6923076923076923,,
36,15,1,0,1,1e-05,16,0.99984,0.5625,,
37,16,0,0,1,1e-05,17,0.99983,0.5294117647058824,,
38,15,0,0,2,2e-05,17,0.99983,0.5294117647058824,,
39,15,0,0,2,2e-05,17,0.99983,0.5294117647058824,,
40,14,0,0,3,3e-05,17,0.99983,0.5882352941176471,,
41,14,1,0,3,3e-05,17,0.99983,0.6470588235294118,,
42,15,1,0,3,3e-05,18,0.99982,0.7222222222222222,,
43,15,2,0,4,4e-05,19,0.99981,0.6842105263157895,,
44,17,0,0,4,4e-05,21,0.99979,0.6190476190476191,,
45,17,0,0,4,4e-05,21,0.99979,0.6666666666666666,,
46,16,1,0,5,5e-05,21,0.99979,0.6666666666666666,,
47,17,0,0,5,5e-05,22,0.99978,0.6818181818181818,,
48,17,1,0,5,5e-05,22,0.99978,0.5,,
49,15,1,1,7,7.000070000700007e-05,23,0.99977,0.5652173913043478,,
50,16,2,1,7,7.000070000700007e-05,24,0.99976,0.5,,
51,17,0,1,8,8.000080000800008e-05,26,0.99974,0.5384615384615384,,
52,17,2,1,8,8.000080000800008e-05,26,0.99974,0.5384615384615384,,
53,19,0,1,8,8.000080000800008e-05,28,0.99972,0.5,,
54,19,0,1,8,8.000080000800008e-05,28,0.99972,0.5714285714285714,,
55,18,2,1,9,9.000090000900009e-05,28,0.99972,0.5357142857142857,,
56,19,1,1,10,0.0001000010000100001,30,0.9997,0.5666666666666667,,
57,20,2,1,10,0.0001000010000100001,31,0.99969,0.5483870967741935,,
58,20,1,1,12,0.00012000120001200012,33,0.99967,0.5151515151515151,,
59,21,0,1,12,0.00012000120001200012,34,0.99966,0.5294117647058824,,
60,21,1,1,12,0.00012000120001200012,34,0.99966,0.5588235294117647,,
61,22,1,1,12,0.00012000120001200012,35,0.99965,0.4857142857142857,,
62,20,0,1,15,0.00015000150001500014,36,0.99964,0.4444444444444444,,
63,19,1,1,16,0.00016000160001600016,36,0.99964,0.4444444444444444,,
64,20,0,1,16,0.00016000160001600016,37,0.99963,0.43243243243243246,,
