Dias,Numero de infectados,Casos novos nesse dia,Mortes,Imunes(curados),Imunidade de manada,Proporcao de contagio,Proporcao de nao infectados,Valores de R,Param_name,Params
92,59,0,2016,96433,0.9841708850424559,98508,0.01492,1.0151459779916352e-05,,
93,48,0,2016,96444,0.9842831482691051,98508,0.01492,0.0,,
94,37,0,2016,96455,0.9843954114957544,98508,0.01492,0.0,,
95,25,0,2016,96467,0.9845178804702809,98508,0.01492,0.0,,
96,21,0,2016,96471,0.9845587034617896,98508,0.01492,0.0,,
97,16,0,2016,96476,0.9846097322011756,98508,0.01492,0.0,,
98,14,0,2016,96478,0.9846301436969301,98508,0.01492,0.0,,
99,11,0,2016,96481,0.9846607609405618,98508,0.01492,0.0,,
100,10,0,2016,96482,0.9846709666884389,98508,0.01492,0.0,,
101,6,0,2016,96486,0.9847117896799478,98508,0.01492,0.0,,
102,3,0,2016,96489,0.9847424069235794,98508,0.01492,0.0,,
103,3,0,2016,96489,0.9847424069235794,98508,0.01492,0.0,,
104,1,0,2016,96491,0.9847628184193338,98508,0.01492,0.0,,
105,1,0,2016,96491,0.9847628184193338,98508,0.01492,0.0,,
106,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
107,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
108,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
109,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
110,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
111,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
112,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
113,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
114,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
115,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
116,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
117,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
118,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
119,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
120,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
121,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
122,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
123,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
124,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
125,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
126,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
127,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
128,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
129,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
130,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
131,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
132,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
133,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
134,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
135,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
136,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
137,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
138,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
139,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
140,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
141,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
142,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
143,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
144,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
145,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
146,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
147,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
148,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
149,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
150,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
151,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
152,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
153,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
154,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
155,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
156,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
157,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
158,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
159,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
160,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
161,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
162,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
163,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
164,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
165,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
166,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
167,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
168,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
169,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
170,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
171,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
172,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
173,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
174,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
175,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
176,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
177,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
178,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
179,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
180,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
181,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
182,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
