Dias,Numero de infectados,Casos novos nesse dia,Mortes,Imunes(curados),Imunidade de manada,Proporcao de contagio,Proporcao de nao infectados,Valores de R,Param_name,Params
0,1,0,0,0,0.0,1,0.99999,0.0,Clustering,1
1,1,0,0,0,0.0,1,0.99999,0.0,Sick_quarantined,1
2,1,0,0,0,0.0,1,0.99999,0.0,Days_limit,300
3,1,0,0,0,0.0,1,0.99999,0.0,Total_pop,100000
4,1,0,0,0,0.0,1,0.99999,0.0,Starting_infected,1
5,1,0,0,0,0.0,1,0.99999,1.0,Death_rate,0.001
6,1,1,0,0,0.0,1,0.99999,1.0,Incubation_time,6
7,2,0,0,0,0.0,2,0.99998,0.5,Illness_course,27
8,2,0,0,0,0.0,2,0.99998,0.5,Infection_chance_upon_meeting,0.1
9,2,1,0,0,0.0,2,0.99998,1.0,Quarantine_chance,0.5
10,3,0,0,0,0.0,3,0.99997,1.0,Minimum_incubation_for_infection,4
11,3,1,0,0,0.0,3,0.99997,1.0,Seed_clustersize,3
12,4,0,0,0,0.0,4,0.99996,1.0,Max_meetings,10
13,4,1,0,0,0.0,4,0.99996,1.0,Middle_factor,5
14,5,0,0,0,0.0,5,0.99995,0.8,Outer_factor,20
15,5,0,0,0,0.0,5,0.99995,0.8,Inner_cluster_chance,0.9
16,5,0,0,0,0.0,5,0.99995,0.8,Middle_cluster_chance,0.9
17,5,0,0,0,0.0,5,0.99995,0.8,Outer_cluster_chance,0.9
18,5,0,0,0,0.0,5,0.99995,0.8,,
19,5,2,0,0,0.0,5,0.99995,1.2,,
20,7,0,0,0,0.0,7,0.99993,0.8571428571428571,,
21,7,0,0,0,0.0,7,0.99993,0.8571428571428571,,
22,7,0,0,0,0.0,7,0.99993,0.8571428571428571,,
23,7,0,0,0,0.0,7,0.99993,1.0,,
24,7,1,0,0,0.0,7,0.99993,1.0,,
25,8,0,0,0,0.0,8,0.99992,1.0,,
26,8,1,0,0,0.0,8,0.99992,0.25,,
27,8,0,0,1,1e-05,9,0.99991,0.2222222222222222,,
28,8,0,0,1,1e-05,9,0.99991,0.2222222222222222,,
29,8,0,0,1,1e-05,9,0.99991,0.3333333333333333,,
30,8,1,0,1,1e-05,9,0.99991,0.4444444444444444,,
31,9,1,0,1,1e-05,10,0.9999,0.5,,
32,10,1,0,1,1e-05,11,0.99989,0.5454545454545454,,
33,10,2,0,2,2e-05,12,0.99988,0.5833333333333334,,
34,12,2,0,2,2e-05,14,0.99986,0.5714285714285714,,
35,14,0,0,2,2e-05,16,0.99984,0.5,,
36,13,0,0,3,3e-05,16,0.99984,0.5,,
37,13,0,0,3,3e-05,16,0.99984,0.5,,
38,12,0,0,4,4e-05,16,0.99984,0.5,,
39,12,1,0,4,4e-05,16,0.99984,0.625,,
40,12,1,0,5,5e-05,17,0.99983,0.7058823529411765,,
41,13,2,0,5,5e-05,18,0.99982,0.6666666666666666,,
42,15,0,0,5,5e-05,20,0.9998,0.65,,
43,15,1,0,5,5e-05,20,0.9998,0.65,,
44,16,0,0,5,5e-05,21,0.99979,0.6190476190476191,,
45,16,0,0,5,5e-05,21,0.99979,0.6190476190476191,,
46,14,1,0,7,7e-05,21,0.99979,0.6190476190476191,,
47,15,0,0,7,7e-05,22,0.99978,0.5909090909090909,,
48,15,0,0,7,7e-05,22,0.99978,0.5909090909090909,,
49,15,0,0,7,7e-05,22,0.99978,0.6363636363636364,,
50,15,1,0,7,7e-05,22,0.99978,0.4090909090909091,,
51,15,0,0,8,8e-05,23,0.99977,0.43478260869565216,,
52,15,1,0,8,8e-05,23,0.99977,0.391304347826087,,
53,15,0,0,9,9e-05,24,0.99976,0.375,,
54,15,0,0,9,9e-05,24,0.99976,0.4166666666666667,,
55,15,1,0,9,9e-05,24,0.99976,0.4166666666666667,,
56,16,0,0,9,9e-05,25,0.99975,0.36,,
57,15,0,0,10,0.0001,25,0.99975,0.4,,
58,14,1,0,11,0.00011,25,0.99975,0.4,,
59,14,0,0,12,0.00012,26,0.99974,0.34615384615384615,,
60,12,0,0,14,0.00014,26,0.99974,0.19230769230769232,,
61,10,0,0,16,0.00016,26,0.99974,0.19230769230769232,,
62,10,0,0,16,0.00016,26,0.99974,0.23076923076923078,,
63,10,1,0,16,0.00016,26,0.99974,0.2692307692307692,,
64,11,1,0,16,0.00016,27,0.99973,0.25925925925925924,,
65,12,0,0,16,0.00016,28,0.99972,0.25,,
66,11,0,0,17,0.00017,28,0.99972,0.21428571428571427,,
67,10,0,0,18,0.00018,28,0.99972,0.21428571428571427,,
68,8,0,0,20,0.0002,28,0.99972,0.21428571428571427,,
